iter	Passed	Remaining
198	4132	16635
199	4141	16565
200	4152	16508
201	4187	16544
202	4199	16488
203	4210	16427
204	4235	16424
205	4245	16363
206	4253	16296
207	4263	16235
208	4274	16178
209	4283	16115
210	4292	16049
211	4324	16073
212	4335	16018
213	4345	15960
214	4382	16000
215	4395	15954
216	4406	15900
217	4415	15840
218	4423	15775
219	4454	15793
220	4466	15745
221	4476	15689
222	4485	15630
223	4507	15615
224	4531	15609
225	4551	15588
226	4585	15614
227	4617	15633
228	4629	15587
229	4665	15618
230	4677	15571
231	4688	15519
232	4695	15458
233	4704	15399
234	4712	15339
235	4742	15354
236	4754	15307
237	4765	15257
238	4807	15306
239	4817	15256
240	4881	15373
241	4894	15331
242	4920	15328
243	4963	15377
244	4975	15331
245	5030	15417
246	5087	15511
247	5121	15528
248	5143	15512
249	5165	15497
250	5201	15521
251	5223	15504
252	5296	15638
253	5316	15613
254	5363	15670
255	5388	15661
256	5422	15675
257	5436	15634
258	5465	15636
259	5476	15586
260	5487	15537
261	5497	15484
262	5511	15444
263	5523	15399
264	5556	15411
265	5574	15383
266	5616	15419
267	5633	15387
268	5665	15396
269	5682	15363
270	5692	15313
271	5705	15270
272	5741	15290
273	5755	15249
274	5791	15268
275	5809	15240
276	5825	15205
277	5839	15165
278	5855	15131
279	5868	15089
280	5947	15218
281	5977	15219
282	5989	15175
283	6057	15271
284	6070	15228
285	6081	15182
286	6109	15179
287	6140	15180
288	6164	15164
289	6227	15247
290	6253	15235
291	6313	15307
292	6371	15375
293	6440	15466
294	6488	15506
295	6504	15469
296	6552	15509
297	6567	15471
298	6600	15475
299	6613	15431
300	6624	15383
301	6636	15337
302	6671	15345
303	6693	15324
304	6770	15427
305	6796	15414
306	6864	15494
307	6884	15466
308	6931	15500
309	6950	15469
310	6985	15475
311	7006	15449
312	7050	15474
313	7062	15429
314	7089	15416
315	7123	15418
316	7133	15369
317	7146	15326
318	7183	15334
319	7203	15307
320	7228	15290
321	7286	15341
322	7300	15302
323	7309	15251
324	7319	15202
325	7330	15155
326	7368	15165
327	7380	15120
328	7391	15076
329	7400	15025
330	7436	15029
331	7451	14993
332	7471	14964
333	7494	14944
334	7517	14923
335	7559	14939
336	7578	14909
337	7657	14997
338	7681	14978
339	7727	15000
340	7754	14986
341	7807	15021
342	7861	15057
343	7884	15036
344	7909	15016
345	7971	15066
346	7984	15025
347	8061	15103
348	8078	15068
349	8088	15021
350	8097	14972
351	8127	14962
352	8163	14963
353	8180	14928
354	8244	14979
355	8271	14962
356	8303	14955
357	8313	14908
358	8349	14907
359	8361	14865
360	8371	14818
361	8406	14816
362	8420	14777
363	8431	14732
364	8462	14721
365	8493	14712
366	8554	14754
367	8564	14709
368	8576	14666
369	8585	14618
370	8594	14572
371	8626	14563
372	8645	14532
373	8659	14494
374	8734	14557
375	8771	14556
376	8808	14556
377	8818	14511
378	8846	14495
379	8894	14511
380	8918	14489
381	8997	14555
382	9029	14546
383	9045	14509
384	9055	14465
385	9066	14421
386	9085	14390
387	9096	14348
388	9108	14306
389	9142	14299
390	9194	14321
391	9210	14286
392	9223	14245
393	9255	14235
394	9279	14213
395	9307	14196
396	9388	14260
397	9422	14252
398	9465	14258
399	9499	14249
400	9559	14279
401	9625	14318
402	9681	14341
403	9737	14365
404	9765	14346
405	9775	14301
406	9834	14328
407	9860	14307
408	9880	14277
409	9905	14253
410	9939	14244
411	9974	14235
412	9994	14205
413	10014	14174
414	10036	14148
415	10073	14142
416	10148	14188
417	10161	14148
418	10224	14177
419	10250	14154
420	10304	14171
421	10342	14165
422	10390	14173
423	10455	14204
424	10484	14184
425	10506	14156
426	10571	14185
427	10582	14143
428	10591	14097
429	10643	14108
430	10654	14065
431	10664	14022
432	10675	13978
433	10707	13963
434	10732	13939
435	10746	13901
436	10786	13896
437	10821	13885
438	10844	13858
439	10871	13835
440	10946	13876
441	10970	13850
442	10988	13816
443	11031	13814
444	11091	13833
445	11140	13837
446	11219	13880
447	11261	13875
448	11272	13832
449	11306	13819
450	11363	13832
451	11373	13789
452	11386	13749
453	11398	13708
454	11431	13692
455	11441	13649
456	11451	13606
457	11459	13561
458	11490	13543
459	11504	13505
460	11516	13464
461	11539	13438
462	11550	13397
463	11561	13355
464	11591	13336
465	11602	13295
466	11615	13257
467	11638	13230
468	11650	13190
469	11662	13150
470	11671	13108
471	11679	13065
472	11712	13049
473	11723	13009
474	11735	12970
475	11744	12928
476	11755	12889
477	11765	12848
478	11773	12805
479	11781	12762
480	11791	12722
481	11799	12680
482	11809	12640
483	11843	12626
484	11855	12589
485	11879	12563
486	11900	12535
487	11911	12497
488	11945	12483
489	11981	12470
490	11994	12434
491	12008	12398
492	12056	12398
493	12066	12359
494	12089	12334
495	12112	12308
496	12180	12327
497	12194	12292
498	12242	12292
499	12260	12260
500	12298	12249
501	12320	12222
502	12330	12183
503	12366	12169
504	12389	12143
505	12434	12139
506	12494	12149
507	12522	12127
508	12546	12102
509	12595	12101
510	12610	12067
511	12635	12043
512	12651	12010
513	12661	11971
514	12674	11935
515	12683	11897
516	12692	11857
517	12700	11817
518	12730	11798
519	12754	11773
520	12764	11735
521	12776	11699
522	12789	11664
523	12799	11626
524	12829	11607
525	12838	11569
526	12861	11543
527	12872	11507
528	12881	11468
529	12890	11430
530	12900	11394
531	12908	11355
532	12966	11360
533	12975	11323
534	12988	11289
535	13001	11254
536	13032	11236
537	13078	11231
538	13089	11195
539	13097	11157
540	13109	11122
541	13121	11088
542	13154	11070
543	13180	11047
544	13191	11013
545	13200	10976
546	13230	10956
547	13260	10937
548	13272	10903
549	13283	10868
550	13307	10844
551	13316	10807
552	13325	10770
553	13334	10735
554	13342	10698
555	13354	10664
556	13388	10648
557	13396	10611
558	13404	10574
559	13416	10541
560	13425	10505
561	13435	10471
562	13444	10435
563	13477	10418
564	13488	10385
565	13499	10351
566	13529	10332
567	13540	10298
568	13550	10263
569	13558	10228
570	13569	10194
571	13589	10168
572	13599	10134
573	13612	10102
574	13621	10068
575	13634	10036
576	13673	10023
577	13684	9991
578	13695	9958
579	13706	9925
580	13761	9924
581	13771	9891
582	13780	9856
583	13789	9822
584	13798	9788
585	13831	9771
586	13842	9739
587	13853	9707
588	13872	9680
589	13884	9648
590	13894	9615
591	13910	9586
592	13919	9553
593	13929	9520
594	13941	9489
595	13951	9457
596	13993	9446
597	14004	9414
598	14014	9381
599	14022	9348
600	14031	9315
601	14039	9281
602	14069	9263
603	14108	9249
604	14146	9235
605	14154	9202
606	14164	9170
607	14195	9152
608	14208	9122
609	14219	9091
610	14262	9080
611	14273	9049
612	14284	9017
613	14292	8985
614	14315	8962
615	14328	8931
616	14337	8900
617	14381	8889
618	14392	8858
619	14402	8827
620	14433	8809
621	14445	8778
622	14455	8747
623	14479	8724
624	14490	8694
625	14502	8664
626	14558	8660
627	14572	8631
628	14582	8601
629	14634	8595
630	14646	8564
631	14656	8534
632	14665	8502
633	14674	8471
634	14690	8443
635	14702	8414
636	14711	8383
637	14722	8353
638	14735	8324
639	14773	8310
640	14787	8281
641	14805	8255
642	14816	8226
643	14832	8199
644	14842	8169
645	14864	8145
646	14877	8117
647	14907	8097
648	14917	8068
649	14929	8038
650	14939	8008
651	14980	7995
652	14991	7966
653	15000	7936
654	15011	7906
655	15020	7876
656	15032	7847
657	15067	7831
658	15077	7802
659	15086	7771
660	15094	7741
661	15104	7711
662	15134	7692
663	15144	7663
664	15153	7633
665	15164	7605
666	15176	7576
667	15212	7560
668	15223	7531
669	15231	7501
670	15264	7484
671	15275	7456
672	15284	7426
673	15292	7396
674	15324	7378
675	15336	7350
676	15348	7322
677	15389	7308
678	15401	7280
679	15411	7252
680	15471	7247
681	15484	7220
682	15503	7195
683	15515	7167
684	15526	7139
685	15555	7119
686	15567	7092
687	15578	7064
688	15625	7052
689	15636	7025
690	15645	6996
691	15655	6968
692	15664	6939
693	15697	6921
694	15708	6893
695	15718	6865
696	15728	6837
697	15765	6821
698	15775	6793
699	15786	6765
700	15794	6736
701	15826	6718
702	15837	6691
703	15848	6663
704	15858	6635
705	15869	6608
706	15899	6588
707	15921	6566
708	15944	6544
709	15956	6517
710	15988	6498
711	16045	6490
712	16057	6463
713	16080	6441
714	16106	6420
715	16116	6392
716	16126	6365
717	16137	6337
718	16148	6311
719	16158	6284
720	16175	6259
721	16187	6232
722	16221	6214
723	16232	6188
724	16244	6161
725	16255	6135
726	16264	6107
727	16319	6097
728	16330	6070
729	16340	6043
730	16350	6016
731	16385	5999
732	16396	5972
733	16406	5945
734	16430	5924
735	16442	5897
736	16452	5871
737	16461	5844
738	16471	5817
739	16480	5790
740	16490	5764
741	16523	5745
742	16533	5718
743	16549	5694
744	16561	5668
745	16571	5642
746	16580	5615
747	16590	5589
748	16648	5579
749	16661	5553
750	16687	5532
751	16697	5506
752	16706	5479
753	16715	5453
754	16730	5429
755	16741	5403
756	16753	5377
757	16765	5352
758	16775	5326
759	16786	5300
760	16793	5274
761	16823	5254
762	16832	5228
763	16843	5203
764	16853	5177
765	16863	5151
766	16899	5133
767	16910	5108
768	16922	5083
769	16931	5057
770	16962	5038
771	16976	5013
772	16986	4988
773	17025	4971
774	17038	4946
775	17053	4922
776	17065	4897
777	17077	4872
778	17097	4850
779	17108	4825
780	17116	4799
781	17127	4774
782	17135	4748
783	17145	4723
784	17180	4705
785	17188	4679
786	17198	4654
787	17228	4635
788	17239	4610
789	17248	4584
790	17257	4559
791	17276	4537
792	17288	4512
793	17299	4488
794	17309	4463
795	17320	4438
796	17337	4415
797	17349	4391
798	17360	4367
799	17369	4342
800	17397	4322
801	17439	4305
802	17450	4281
803	17461	4256
804	17514	4242
805	17528	4218
806	17536	4194
807	17544	4169
808	17556	4144
809	17593	4126
810	17601	4101
811	17608	4076
812	17619	4052
813	17631	4028
814	17639	4004
815	17649	3979
816	17679	3960
817	17691	3936
818	17701	3912
819	17711	3887
820	17720	3863
821	17749	3843
822	17762	3820
823	17773	3796
824	17780	3771
825	17788	3747
826	17796	3722
827	17828	3703
828	17839	3679
829	17849	3655
830	17888	3638
831	17902	3614
832	17912	3591
833	17921	3567
834	17930	3543
835	17961	3523
836	17973	3500
837	17984	3476
838	18020	3457
839	18031	3434
840	18045	3411
841	18074	3391
842	18082	3367
843	18093	3344
844	18104	3321
845	18114	3297
846	18129	3274
847	18142	3251
848	18151	3228
849	18160	3204
850	18171	3181
851	18178	3157
852	18212	3138
853	18252	3120
854	18272	3098
855	18286	3076
856	18301	3053
857	18372	3040
858	18401	3020
859	18421	2998
860	18467	2981
861	18537	2967
862	18548	2944
863	18574	2923
864	18618	2905
865	18685	2891
866	18729	2873
867	18807	2860
868	18823	2837
869	18898	2823
870	18920	2802
871	18945	2780
872	19007	2765
873	19027	2743
874	19051	2721
875	19128	2707
876	19191	2691
877	19203	2668
878	19215	2645
879	19289	2630
880	19314	2608
881	19359	2590
882	19440	2575
883	19453	2552
884	19477	2530
885	19500	2509
886	19566	2492
887	19582	2469
888	19603	2447
889	19675	2431
890	19721	2412
891	19745	2390
892	19785	2370
893	19831	2351
894	19851	2328
895	19864	2305
896	19945	2290
897	20005	2272
898	20038	2251
899	20085	2231
900	20096	2208
901	20168	2191
902	20186	2168
903	20198	2144
904	20207	2121
905	20216	2097
906	20227	2074
907	20286	2055
908	20299	2032
909	20315	2009
910	20328	1986
911	20338	1962
912	20358	1939
913	20372	1916
914	20383	1893
915	20396	1870
916	20431	1849
917	20465	1828
918	20491	1806
919	20513	1783
920	20532	1761
921	20544	1738
922	20578	1716
923	20591	1693
924	20599	1670
925	20611	1647
926	20625	1624
927	20636	1601
928	20648	1578
929	20671	1555
930	20692	1533
931	20706	1510
932	20722	1488
933	20750	1466
934	20781	1444
935	20881	1427
936	20926	1406
937	20966	1385
938	21036	1366
939	21114	1347
940	21140	1325
941	21163	1303
942	21176	1280
943	21185	1256
944	21194	1233
945	21203	1210
946	21213	1187
947	21223	1164
948	21233	1141
949	21243	1118
950	21265	1095
951	21277	1072
952	21289	1049
953	21299	1027
954	21308	1004
955	21321	981
956	21334	958
957	21346	935
958	21355	913
959	21366	890
960	21405	868
961	21422	846
962	21437	823
963	21454	801
964	21469	778
965	21495	756
966	21517	734
967	21530	711
968	21539	689
969	21547	666
970	21557	643
971	21571	621
972	21582	598
973	21590	576
974	21601	553
975	21624	531
976	21652	509
977	21700	488
978	21739	466
979	21749	443
980	21781	421
981	21834	400
982	21857	377
983	21882	355
984	21909	333
985	21961	311
986	22016	289
987	22075	268
988	22107	245
989	22133	223
990	22203	201
991	22235	179
992	22312	157
993	22354	134
994	22482	112
995	22576	90
996	22596	67
997	22692	45
998	22736	22
999	22772	0
