iter	RMSE
505	0.7995068203
506	0.7994820908
507	0.7994557792
508	0.7994245953
509	0.799393429
510	0.7993606301
511	0.7993305364
512	0.7993059174
513	0.7992689637
514	0.7992473346
515	0.7992209427
516	0.7992021053
517	0.7991723176
518	0.799139945
519	0.7991151857
520	0.7990910102
521	0.7990652268
522	0.7990329101
523	0.7990022717
524	0.798982445
525	0.7989440636
526	0.7989193986
527	0.7988954553
528	0.7988732734
529	0.7988378301
530	0.7988061114
531	0.7987771527
532	0.7987441703
533	0.79871155
534	0.7986822632
535	0.7986525658
536	0.7986221426
537	0.7985870378
538	0.798558294
539	0.7985282948
540	0.7984913446
541	0.7984589334
542	0.7984467427
543	0.7984295769
544	0.7984031134
545	0.7983784838
546	0.7983600156
547	0.7983311041
548	0.7983009417
549	0.7982729851
550	0.7982506116
551	0.7982206827
552	0.7981840768
553	0.7981525922
554	0.798123489
555	0.7980934897
556	0.7980613132
557	0.7980318085
558	0.7980040869
559	0.7979788349
560	0.7979561077
561	0.7979214776
562	0.7978942724
563	0.7978715025
564	0.7978469936
565	0.7978215953
566	0.7977965841
567	0.7977621844
568	0.7977344019
569	0.7977090857
570	0.7976822625
571	0.7976495544
572	0.7976296355
573	0.7975930601
574	0.7975569521
575	0.7975293153
576	0.7975019761
577	0.7974794474
578	0.7974528994
579	0.7974166796
580	0.7973962649
581	0.7973704046
582	0.7973396146
583	0.7973132906
584	0.7972899113
585	0.7972585587
586	0.7972427371
587	0.7972164902
588	0.7971932657
589	0.7971611607
590	0.7971416125
591	0.7971152269
592	0.7970937206
593	0.7970653954
594	0.7970308962
595	0.7970075175
596	0.7969814741
597	0.7969531733
598	0.7969216134
599	0.7968976055
600	0.796873579
601	0.7968405588
602	0.7968122828
603	0.7967821832
604	0.7967476483
605	0.7967241482
606	0.796696935
607	0.7966688369
608	0.7966369354
609	0.7966075598
610	0.796575684
611	0.7965408709
612	0.7965152649
613	0.7964907242
614	0.7964680029
615	0.7964433095
616	0.7964250631
617	0.7964066396
618	0.7963761515
619	0.7963520285
620	0.7963237885
621	0.7963008135
622	0.7962807758
623	0.7962467926
624	0.7962247066
625	0.7961994751
626	0.7961785328
627	0.7961463928
628	0.7961223234
629	0.7961043958
630	0.7960832709
631	0.7960539111
632	0.7960306553
633	0.7960102729
634	0.7959889283
635	0.7959587892
636	0.795927991
637	0.7959063519
638	0.7958751411
639	0.7958393239
640	0.7958026185
641	0.7957732313
642	0.7957492966
643	0.7957267335
644	0.7956936781
645	0.7956770318
646	0.7956470322
647	0.7956218128
648	0.7955975081
649	0.795572659
650	0.7955532377
651	0.7955211932
652	0.7954914566
653	0.7954691928
654	0.7954447754
655	0.7954240047
656	0.7953985875
657	0.7953711309
658	0.7953458126
659	0.7953279672
660	0.7953086997
661	0.795280807
662	0.7952651341
663	0.7952432113
664	0.7952217081
665	0.7951937268
666	0.7951638264
667	0.7951370852
668	0.7950984751
669	0.7950757324
670	0.7950530933
671	0.7950277741
672	0.7950103098
673	0.7949818856
674	0.794958602
675	0.7949348408
676	0.7949122973
677	0.794876495
678	0.7948561551
679	0.7948350395
680	0.7948175331
681	0.7947866167
682	0.7947640029
683	0.7947319163
684	0.7947090286
685	0.7946946451
686	0.7946688746
687	0.7946394277
688	0.794616615
689	0.7945798225
690	0.7945540096
691	0.7945204141
692	0.7944984488
693	0.7944684985
694	0.7944427378
695	0.7944212182
696	0.7943964427
697	0.7943724671
698	0.7943584823
699	0.7943290425
700	0.7943004466
701	0.7942752204
702	0.7942527332
703	0.7942313892
704	0.7942081798
705	0.7941827
706	0.7941574707
707	0.7941376929
708	0.7941147475
709	0.7940814639
710	0.7940531564
711	0.7940296789
712	0.7940055277
713	0.7939800861
714	0.7939587751
715	0.7939282425
716	0.7939003231
717	0.7938854491
718	0.793860649
719	0.7938333715
720	0.7938036947
721	0.7937713497
722	0.793743246
723	0.7937203298
724	0.7936978345
725	0.7936669332
726	0.7936349729
727	0.793610394
728	0.7935842103
729	0.7935525246
730	0.7935287055
731	0.7935032289
732	0.7934753572
733	0.7934507825
734	0.7934286004
735	0.7934022139
736	0.7933771113
737	0.7933546047
738	0.7933262153
739	0.7932996893
740	0.7932783511
741	0.7932511668
742	0.7932248964
743	0.7931965921
744	0.7931676333
745	0.7931448363
746	0.7931145995
747	0.7930814695
748	0.7930567381
749	0.7930246574
750	0.7930057136
751	0.7929851997
752	0.7929617865
753	0.7929493932
754	0.79292142
755	0.7928984102
756	0.7928657478
757	0.7928440274
758	0.7928189571
759	0.7927949935
760	0.7927782544
761	0.7927565101
762	0.792737559
763	0.7927076491
764	0.7926905087
765	0.7926686865
766	0.792640793
767	0.7926247112
768	0.7925980359
769	0.7925780042
770	0.7925551815
771	0.7925301396
772	0.7924959548
773	0.7924706241
774	0.7924430557
775	0.7924114796
776	0.7923786028
777	0.7923534287
778	0.7923349519
779	0.7923083124
780	0.7922911224
781	0.7922582649
782	0.7922324927
783	0.7922082452
784	0.7921900471
785	0.7921702121
786	0.7921448277
787	0.7921239168
788	0.7921048525
789	0.7920765288
790	0.7920618912
791	0.7920354831
792	0.79200559
793	0.7919762643
794	0.7919464037
795	0.7919258937
796	0.7918953475
797	0.7918706926
798	0.7918426008
799	0.7918155585
800	0.791794341
801	0.7917758056
802	0.7917488745
803	0.7917221498
804	0.7916938365
805	0.7916640158
806	0.7916424337
807	0.7916163809
808	0.791597938
809	0.7915698966
810	0.7915554449
811	0.7915340334
812	0.7915025526
813	0.7914770497
814	0.7914476562
815	0.7914153743
816	0.7914000097
817	0.7913714057
818	0.7913497478
819	0.7913163766
820	0.7912856789
821	0.7912642848
822	0.7912439948
823	0.7912221636
824	0.7911973171
825	0.7911674277
826	0.7911493352
827	0.7911262573
828	0.7911013878
829	0.7910804748
830	0.7910506053
831	0.7910274376
832	0.7910115089
833	0.7909869076
834	0.7909661309
835	0.7909478419
836	0.7909183921
837	0.7908883147
838	0.7908645076
839	0.7908425025
840	0.7908156122
841	0.7907989449
842	0.7907795523
843	0.7907500292
844	0.7907228133
845	0.7906955327
846	0.7906694325
847	0.7906337743
848	0.7906100428
849	0.7905837294
850	0.7905528173
851	0.7905266917
852	0.7905029333
853	0.7904809889
854	0.7904583628
855	0.7904256928
856	0.7903964427
857	0.7903708539
858	0.7903425132
859	0.7903208144
860	0.7902933202
861	0.7902744054
862	0.7902511804
863	0.7902279576
864	0.7902050166
865	0.7901853755
866	0.7901612391
867	0.7901317411
868	0.7901012494
869	0.7900798062
870	0.7900606068
871	0.7900331133
872	0.790008427
873	0.7899805845
874	0.7899538741
875	0.7899266731
876	0.7899058445
877	0.7898887493
878	0.7898650424
879	0.7898382047
880	0.7898146468
881	0.7897799703
882	0.7897521111
883	0.7897189917
884	0.7896907933
885	0.7896812795
886	0.7896585785
887	0.7896417304
888	0.789613718
889	0.7895914574
890	0.7895702644
891	0.7895489943
892	0.789519157
893	0.7894937386
894	0.7894614673
895	0.7894377061
896	0.789412061
897	0.7893874546
898	0.7893621459
899	0.7893416876
900	0.7893250854
901	0.7893022159
902	0.7892833843
903	0.7892604958
904	0.7892358414
905	0.7892101718
906	0.7891861665
907	0.7891628382
908	0.7891392638
909	0.7891082876
910	0.7890816286
911	0.7890486365
912	0.7890250508
913	0.7889905279
914	0.7889716239
915	0.7889479205
916	0.7889218276
917	0.7888998414
918	0.7888824971
919	0.7888595704
920	0.7888371384
921	0.7888172032
922	0.7888004418
923	0.7887749865
924	0.7887452194
925	0.7887214027
926	0.7887021102
927	0.7886768614
928	0.7886473802
929	0.7886226041
930	0.7885902295
931	0.7885669373
932	0.788541117
933	0.7885141332
934	0.7884929708
935	0.7884731317
936	0.7884386116
937	0.7884200689
938	0.7883966474
939	0.7883794604
940	0.7883545413
941	0.7883326894
942	0.7883051599
943	0.7882878974
944	0.7882665823
945	0.788240266
946	0.7882124683
947	0.7881870774
948	0.7881635555
949	0.7881384064
950	0.7881237511
951	0.788098924
952	0.7880742285
953	0.7880481052
954	0.7880257578
955	0.788001568
956	0.7879819248
957	0.7879530981
958	0.7879285053
959	0.7879008648
960	0.7878798934
961	0.7878428442
962	0.7878150121
963	0.787789894
964	0.7877533079
965	0.7877302945
966	0.7877099816
967	0.7876897727
968	0.787674213
969	0.7876493775
970	0.787622505
971	0.7875920828
972	0.7875728121
973	0.7875491477
974	0.7875241626
975	0.7874966761
976	0.7874764562
977	0.7874534537
978	0.7874242213
979	0.7874027922
980	0.7873800932
981	0.787349385
982	0.7873304825
983	0.7873171648
984	0.7872922731
985	0.7872740022
986	0.7872509128
987	0.7872164711
988	0.7871948286
989	0.7871707034
990	0.7871497892
991	0.7871205909
992	0.7871008743
993	0.7870742545
994	0.7870556377
995	0.7870267856
996	0.786997468
997	0.7869807749
998	0.7869644089
999	0.7869395752
